Maine 2025 Priority Bills,Stance,Issues,Status Text,Last Timeline Action,Source Link
"L.D. 1473 (S.P. 476): An Act To Exempt Land-Based Aquaculture Facilities From The Maine Uniform Building And Energy Code Requirements""
(Emergency)
(Governor'S Bill)",Oppose,Water,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080373
L.D. 1410 (S.P. 460): An Act To Incentivize The Development Of The Labor Force In The Green Jobs Sector Through Assistance In Repaying Student Loan Debt,Support,Energy,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080249
"L.D. 1437 (H.P. 1053): An Act To Reduce Poisoning From Radon, Arsenic And Other Air Or Water Pollutants By Expanding Education, Testing And Mitigation Regarding Those Pollutants",Support,Toxics,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080327
L.D. 65 (H.P. 31): An Act To Invest In The Stewardship And Management Of Properties Acquired With The Proceeds From The Land For Maine'S Future Fund Or The Public Access To Maine Waters Fund,Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078001
L.D. 314 (H.P. 218): An Act To Continue The Green Power Electricity Offer,Support,"Renewable Standards, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078515
L.D. 1388 (H.P. 1022): An Act To Require Testing Of Public Drinking Water Supplies For Toxic Perfluoroalkyl And Polyfluoroalkyl Substances And To Establish Maximum Contaminant Levels,Support,Water,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080214
L.D. 1337 (H.P. 988): An Act To Increase Affordable Housing And Reduce Property Taxes Through An Impact Fee On Vacant Residences,Support,,Passed Original Chamber,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080078
L.D. 1264 (S.P. 415): An Act To Allow Owners And Renters To Use Future Electric Bill Payments To Finance Heat Pumps,Support,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079933
L.D. 1094 (S.P. 355): An Act To Authorize A General Fund Bond Issue To Reduce Homeowner And Municipal Energy Bills Through Increased Efficiency And Weatherization Projects,Support,"Energy Burden, Energy",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079601
L.D. 1099 (S.P. 360): An Act Regarding Election Reform,Oppose,"Elections, Free & Fair Elections",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079634
L.D. 1089 (S.P. 350): An Act To Increase Municipal Oversight In The Site Location Of Development Laws,Oppose,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079592
L.D. 1158 (H.P. 836): An Act Regarding The Application Of Certain Pesticides For Nonagricultural Use,Support,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079729
L.D. 1163 (H.P. 841): An Act To Reduce Pollution By Prohibiting Metallic Mineral Mining,Watching,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079747
L.D. 2 (H.P. 5): An Act To Require The Inclusion Of Racial Impact Statements In The Legislative Process,Support,"Social Justice, Free & Fair Elections",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280077978
L.D. 1038 (S.P. 328): An Act To Facilitate A Timely Revision Process In The Site Location Of Development Laws,Oppose,Zoning: Infill & Redevelopment,Passed Original Chamber,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079508
L.D. 809 (S.P. 144): An Act To Prohibit The Purging Of Volatile Organic Compound Gases From Oil Tankers In The Waters Of Maine,Support,"Air Pollution, Climate Change: Prevention & Reaction, Air Quality",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078542
L.D. 971 (H.P. 717): An Act To Require The Public Utilities Commission To Open An Inquiry Regarding Notification Of The Sale Of An Investor-Owned Transmission And Distribution Utility,Support,Utilities,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079439
"L.D. 983 (S.P. 313): An Act To Authorize A General Fund Bond Issue To Promote Land Conservation, Working Waterfronts, Water Access And Outdoor Recreation",Support,"Public Lands , Federal Policy",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079431
L.D. 988 (S.P. 319): An Act To Increase Economic Development By Expanding The Special Fee Application Review Process Of The Department Of Environmental Protection,Oppose,State Agency,Passed Original Chamber,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079454
L.D. 1015 (H.P. 753): An Act To Ban Hunting With Ammunition That Contains Lead,Support,Toxics,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079470
L.D. 678 (S.P. 265): An Act Regarding Timelines For Permitting By The Department Of Environmental Protection,Oppose,State Agency,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079143
"L.D. 706 (H.P. 518): Resolution, Proposing An Amendment To The Constitution Of Maine To Lower The Voting Age To 16 Years Of Age",Support,"Elections, Free & Fair Elections",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079172
"L.D. 640 (H.P. 471): An Act To Ban Single-Serving, Disposable Plastic Water Bottles",Support,"Plastic, Waste",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079098
"L.D. 602 (S.P. 241): An Act To Prevent Pollution From Single-Use Plastic Straws, Splash Sticks And Beverage Lid Plugs",Support,"Single Use , Waste, Plastic",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079029
"L.D. 583 (H.P. 426): An Act To Repeal The Changes Made By Public Law 2019, Chapter 478, ""An Act To Promote Solar Energy Projects And Distributed Generation Resources In Maine",Oppose,"Solar, Energy",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078986
L.D. 324 (H.P. 228): An Act To Limit Public Land Ownership In Maine,Oppose,Land Development / Use,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078516
L.D. 359 (H.P. 257): An Act To Promote Energy Production From Recyclable Plastics,Oppose,"Plastic, Waste",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078550
L.D. 249 (S.P. 111): An Act To Eliminate The Current Net Energy Billing Policy In Maine,Oppose,,Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078342
L.D. 244 (S.P. 105): An Act To Repeal Maine'S Single-Use Plastic Bag Law,Oppose,"Plastic, Waste",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078336
L.D. 218 (H.P. 153): An Act To Authorize A General Fund Bond Issue To Accelerate Weatherization Efforts In The State,Support,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078286
L.D. 208 (H.P. 143): An Act To Expand Access To Absentee Ballots,Support,"Elections, Free & Fair Elections",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078270
L.D. 165 (H.P. 121): An Act To Authorize A General Fund Bond Issue To Provide Necessary Maintenance And Upgrades For State Parks And Historic Sites,Support,,Introduced or Prefiled,"Leave To Withdraw,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078149
L.D. 39 (S.P. 47): An Act To Remove The Plastic Bag Ban,Oppose,"Plastic, Waste",Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280077972
L.D. 101 (H.P. 67): An Act To Prohibit Offshore Wind Energy Development,Oppose,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078068
L.D. 97 (H.P. 63): An Act To Ensure The Right To Work Without Payment Of Dues Or Fees To A Labor Union,Oppose,Miscellanous,Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078061
"L.D. 64 (H.P. 30): Resolution, Proposing An Amendment To The Constitution Of Maine Regarding Environmental Rights",Support,"Preemption, ALEC & Industry Bills",Introduced or Prefiled,"Leave To Withdraw,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078000
"L.D. 571 (H.P. 415): Resolve, Directing The Department Of Transportation To Initiate A Service Development Plan For Commuter And Passenger Train Service Between Portland And The Lewiston And Auburn Area",Support,"Rail / Rail Infrastructure, Transportation",Enacted,"Governor'S Action: Signed,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071466
L.D. 2033 (H.P. 1443): An Act To Ensure Proper Closure Of Oil Terminal Facilities,Support,"Oil, Energy",Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280075963
L.D. 1832 (H.P. 1303): An Act To Ensure Adequate Funding For The Maine Pollutant Discharge Elimination System And Waste Discharge Licensing Program,Support,"Rates, State Agency",Enacted,"Governor'S Action: Signed,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074459
"L.D. 1915 (S.P. 662): Resolve, Directing The Department Of Environmental Protection To Evaluate Emissions From Heated Aboveground Petroleum Storage Tanks",Support,"Air Quality, Climate Change: Prevention & Reaction",Enacted,"Governor'S Action: Signed,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280075748
L.D. 1698 (H.P. 1213): An Act To Create Jobs And Slow Climate Change By Promoting The Production Of Natural Resources Bioproducts,Watching,"Recycling, Waste",Enacted,"On Motion By Senator Dill Of Penobscot Tabled Until Later In Today'S Session, Pending Passage To Be Enacted, In Concurrence. Taken From The Table By The President Subsequently On Motion By Senator Dill Of Penobscot Rules Suspended For Purpose Of Reconsideration Roll Call Ordered Roll Call Number 428 Yeas 14 - Nays 16 - Excused 5 - Absent 0 Failed Subsequently Passed To Be Enacted In Concurrence",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073812
"L.D. 1923 (H.P. 1371): An Act To Define As A Hazardous Substance Under Maine Law Any Substance Defined Under Federal Law As A Hazardous Substance, Pollutant Or Contaminant",Support,"PFAS, Toxics",Introduced or Prefiled,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280075827
"L.D. 2164 (I.B. 1): Resolve, To Reject The New England Clean Energy Connect Transmission Project",Support,Energy,Introduced or Prefiled,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280077119
L.D. 13 (H.P. 14): An Act To Allow Microgrids That Are In The Public Interest,Support,"Energy, Grid Modernization",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070635
L.D. 1750 (H.P. 1245): An Act To Establish Appliance Energy And Water Standards,Support,,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074012
"L.D. 1894 (S.P. 646): An Act To Incentivize The Purchase Of Electric Public School Buses""
(Emergency)",Support,"Electric Vehicle, Transportation",Introduced or Prefiled,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280075720
"L.D. 2112 (H.P. 1505): An Act To Limit The Use Of Hydrofluorocarbons To Fight Climate Change""
(Governor'S Bill)",Support,"Climate Change: Prevention & Reaction, Air Quality",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280076650
L.D. 2104 (H.P. 1500): An Act To Support And Increase The Recycling Of Packaging,Support,,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280076587
L.D. 2094 (H.P. 1492): An Act To Implement The Recommendations Of The Task Force On Changes To The Maine Indian Claims Settlement Implementing Act,Support,"Social Justice, Free & Fair Elections",Introduced or Prefiled,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280076401
L.D. 2083 (H.P. 1484): An Act To Require The Board Of Pesticides Control To Annually Publish Certain Information Regarding Pesticides And To Prohibit Certain Uses Of Neonicotinoids,Support,Toxics,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280076183
L.D. 54 (S.P. 18): An Act To Limit The Influence Of Lobbyists By Expanding The Prohibition On Accepting Political Contributions,Support,,Enacted,Became Law Without Governor'S Signature,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070713
L.D. 1888 (H.P. 1354): An Act To Protect Children From Toxic Chemicals,Support,Toxics,Introduced or Prefiled,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280075693
L.D. 1494 (S.P. 457): An Act To Reform Maine'S Renewable Portfolio Standard,Support,"Energy, Renewable Standards",Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072983
"L.D. 1679 (S.P. 550): An Act To Establish The Maine Climate Change Council To Assist Maine To Mitigate, Prepare For And Adapt To Climate Change""
(Emergency)
(Governor'S Bill)",Support,,Enacted,Signed By The Governor (Emergency Measure),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073696
L.D. 1711 (S.P. 565): An Act To Promote Solar Energy Projects And Distributed Generation Resources In Maine,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073839
L.D. 1430 (H.P. 1040): An Act To Create Tax Equity Among Renewable Energy Investments,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072802
"L.D. 1836 (S.P. 621): An Act To Authorize A General Fund Bond Issue For Infrastructure, Economic Development, Workforce Development And Energy And Environment Investment""
(Governor'S Bill)",Watching,,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074498
"L.D. 994 (S.P. 284): Resolve, To Require The Approval By The Public Utilities Commission Of A Proposal For A Long-Term Contract For Deep-Water Offshore Wind Energy",Watching,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072062
"L.D. 1436 (H.P. 1048): Resolve, Directing Coordinated State Agencies To Negotiate With The Governing Leaderships Of Portland Pipe Line Corporation And Montreal Pipe Line Limited For Sustainability-Centered Repurposing Of Stranded And At-Risk Infrastructure Assets In Maine",Watching,Energy,Enacted,Became Law Without Governor'S Signature,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072889
"L.D. 1614 (H.P. 1166): Resolve, Establishing The Commission To Study The Economic, Environmental And Energy Benefits Of Energy Storage To The Maine Electricity Industry",Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073497
L.D. 1691 (S.P. 556): An Act To Ban Use Of Aerial Herbicide Spraying For The Purpose Of Deforestation,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073762
L.D. 1464 (H.P. 1071): An Act To Support Electrification Of Certain Technologies For The Benefit Of Maine Consumers And Utility Systems And The Environment,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072916
"L.D. 1560 (S.P. 495): An Act Regarding Utility Reorganizations""
(Emergency)",Support,Energy,Enacted,Signed By The Governor (Emergency Measure),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073365
"L.D. 1830 (H.P. 1301): An Act Establishing The Office Of Policy Innovation And The Future""
(Governor'S Bill)",Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074409
L.D. 1282 (H.P. 924): An Act To Establish A Green New Deal For Maine,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072524
L.D. 1532 (H.P. 1115): An Act To Eliminate Single-Use Plastic Carry-Out Bags,Support,Waste,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073133
L.D. 1706 (S.P. 562): An Act To Ensure Public Notification Of Air Quality Violations,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073810
L.D. 1743 (H.P. 1242): An Act To Reclassify Certain Waters Of The State,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073978
"L.D. 1757 (H.P. 1251): An Act To Clarify Certain Standards For The Efficiency Maine Trust'S Triennial Plan""
(Emergency)",Support,,Enacted,Signed By The Governor (Emergency Measure),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074025
"L.D. 1789 (S.P. 605): An Act To Restore The Authority Of The Board Of Environmental Protection""
(Governor'S Bill)",Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074285
L.D. 1181 (H.P. 855): An Act To Reduce Electricity Costs Through Nonwires Alternatives,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072349
"L.D. 1766 (S.P. 597): An Act To Transform Maine'S Heat Pump Market To Advance Economic Security And Climate Objectives""
(Governor'S Bill)",Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280074129
L.D. 955 (H.P. 710): An Act To Prohibit Offshore Oil And Natural Gas Drilling And Exploration,Support,"Off Shore Drilling, Energy",Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072025
L.D. 1433 (H.P. 1043): An Act To Protect The Environment And Public Health By Further Reducing Toxic Chemicals In Packaging,Support,Toxics,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072805
"L.D. 1363 (H.P. 985): An Act Regarding Energy Transmission Corridors""
(Emergency)",Watching,Energy,Sent to Executive,"Veto Sustained,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072686
L.D. 1383 (H.P. 1004): An Act To Amend Maine'S Municipal Land Use And Eminent Domain Laws Regarding Transmission And Distribution Utilities,Watching,Energy,Sent to Executive,"Veto Sustained,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072711
L.D. 614 (H.P. 442): An Act To Provide Purchase Rebates For Battery Electric Vehicles,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071513
L.D. 912 (S.P. 266): An Act To Establish The Wood Energy Investment Program,Support,Energy,Sent to Executive,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071953
L.D. 1266 (S.P. 386): An Act To Create Transportation Corridor Districts For The Purpose Of Funding Transportation And Transit Services,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072452
L.D. 1559 (S.P. 494): An Act To Require The Public Utilities Commission To Open An Investigation Whenever It Initiates A Management Audit,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073364
L.D. 1557 (S.P. 492): An Act To Authorize An Additional Position In The Office Of The Public Advocate,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073362
L.D. 1173 (S.P. 359): An Act To Allow The Direct Sale Of Electricity,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072336
L.D. 839 (H.P. 613): An Act To Increase Funding For Multimodal Transportation,Support,,Sent to Executive,"Veto Sustained,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071881
"L.D. 1186 (H.P. 860): An Act To Exempt Agricultural Fairs From The Assessment Of Demand Charges For Electricity""
(Emergency)",Support,Energy,Enacted,Signed By The Governor (Emergency Measure),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072361
L.D. 1556 (S.P. 491): An Act Regarding Filing Fees In Transmission Line Proceedings,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073361
L.D. 1567 (S.P. 502): An Act To Change The Deadline For Submission Of The Annual Report Of The Public Advocate,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073372
"L.D. 640 (S.P. 202): Resolve, To Require A Study Of Greenhouse Gas Emissions Reductions From The Proposed Central Maine Power Company Transmission Corridor""
(Emergency)",Support,"Reporting Requirements, State Agency, Procedures",Passed Original Chamber,"Died Between Houses,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071595
"L.D. 658 (H.P. 479): Resolve, To Direct A Plan For Energy Independence For Maine",Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071631
L.D. 372 (H.P. 281): An Act To Increase The Safety Of Municipal Residents By Allowing Municipalities To Address Downed Wires In Extended Power Outages,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071157
"L.D. 1741 (H.P. 1240): Resolve, Directing The Public Utilities Commission To Examine Performance-Based Rates For Electric Utilities",Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073976
L.D. 1748 (S.P. 582): An Act To Allow For The Establishment Of Commercial Property Assessed Clean Energy Programs,Support,,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073974
L.D. 816 (S.P. 252): An Act To Implement The National Popular Vote For President Of The United States,Support,Free & Fair Elections,Passed Original Chamber,"Died Between Houses,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071841
L.D. 834 (H.P. 608): An Act To Establish Minimum Service Standards For Electric Utilities,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071862
L.D. 581 (H.P. 425): An Act To Direct Electric Utilities To Provide Comparative Usage Data On Customer Billing Statements,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071481
L.D. 1003 (H.P. 745): An Act To Ensure Accurate Explanations Of Electric Bills,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072091
L.D. 1707 (S.P. 563): An Act To Ensure Accuracy And Reliability Of Environmental Testing By Requiring Compliance Testing By 3Rd-Parties,Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073811
"L.D. 1080 (H.P. 803): Resolve, Regarding Biofuel In Number 2 Heating Oil""
(Emergency)",Watching,"Oil, Energy",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072213
"L.D. 196 (H.P. 159): Resolve, Regarding Legislative Review Of Portions Of Chapter 320: Electric Transmission And Distribution Utility Service Standards, A Major Substantive Rule Of The Public Utilities Commission""
(Emergency)",Support,Energy,Enacted,Signed By The Governor (Emergency Measure),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070938
L.D. 199 (H.P. 162): An Act To Create The Water Resources Planning Committee,Support,"Management Plans, Water",Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070945
L.D. 398 (H.P. 307): An Act To Allow For Greater Flexibility In Addressing Energy Efficiency Needs In The State,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071246
L.D. 807 (S.P. 243): An Act Regarding The Duties Of The Public Advocate,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071829
L.D. 179 (H.P. 142): An Act To Change The Name Of Columbus Day To Indigenous Peoples Day,Support,,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070911
L.D. 1634 (H.P. 1177): An Act To Create The Maine Clean Energy Fund And To Authorize A General Fund Bond Issue To Capitalize The Fund,Support,Energy,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073567
L.D. 1646 (H.P. 1181): An Act To Restore Local Ownership And Control Of Maine'S Power Delivery Systems,Support,Energy,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073591
L.D. 1561 (S.P. 496): An Act To Amend The Maine Land Use Planning Commission Laws And Enhance The Economic Vitality Of Neighboring Communities,Support,,Passed Original Chamber,"Accepted Majority (Ontp) Report,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073366
L.D. 1562 (S.P. 497): An Act To Encourage The Use Of Renewable Energy,Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280073367
L.D. 68 (S.P. 21): An Act To Improve The Record Keeping Of The Public Utilities Commission,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070730
L.D. 91 (H.P. 77): An Act To Eliminate Gross Metering,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070776
L.D. 1465 (H.P. 1072): An Act To Diversify Maine'S Energy Portfolio With Renewable Energy,Support,,Passed Original Chamber,"Leave To Withdraw,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072917
L.D. 1474 (H.P. 1076): An Act To Ensure Water Equity And Accountability For The People Of The State,Support,,Introduced or Prefiled,"Accepted Majority (Ontp) Report,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072951
"L.D. 1336 (H.P. 964): Resolve, Directing The Governor To Renominate Penobscot Bay For Inclusion In The United States Environmental Protection Agency National Estuary Program",Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072646
L.D. 1367 (H.P. 989): An Act To Preserve And Protect The State'S Rail Corridors,Watching,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072683
